pm10,pm2_5,so2,co,o3,no2,kualitas
67,92,43,17,49,29,SEDANG
90,122,51,19,70,29,TIDAK SEHAT
43,65,43,15,40,22,SEDANG
46,61,41,16,34,19,SEDANG
50,63,38,12,35,17,SEDANG
38,53,38,10,34,8,SEDANG
55,71,39,13,34,14,SEDANG
46,73,40,15,48,20,SEDANG
67,111,40,23,69,32,TIDAK SEHAT
77,141,40,23,77,28,TIDAK SEHAT
51,76,41,21,53,25,SEDANG
56,97,41,22,54,28,SEDANG
60,109,39,25,80,31,TIDAK SEHAT
46,65,43,18,36,20,SEDANG
50,59,39,13,41,21,SEDANG
77,107,46,23,52,52,TIDAK SEHAT
60,112,42,24,79,40,TIDAK SEHAT
50,75,40,20,58,28,SEDANG
55,102,40,15,45,25,TIDAK SEHAT
29,53,37,13,37,13,SEDANG
53,90,38,21,28,18,SEDANG
48,68,40,17,36,22,SEDANG
32,53,41,13,45,20,SEDANG
30,55,43,12,35,18,SEDANG
32,51,46,15,24,15,SEDANG
74,114,47,19,76,38,TIDAK SEHAT
39,53,38,16,17,6,SEDANG
35,60,40,10,46,16,SEDANG
66,128,42,22,77,31,TIDAK SEHAT
58,100,42,22,81,31,SEDANG
77,126,42,19,87,23,TIDAK SEHAT
57,101,44,14,72,30,TIDAK SEHAT
34,55,44,8,65,20,SEDANG
61,85,54,13,63,25,SEDANG
54,75,41,12,81,26,SEDANG
54,86,50,17,74,28,SEDANG
58,95,44,12,73,24,SEDANG
63,98,42,19,76,21,SEDANG
56,92,41,12,82,13,SEDANG
39,73,42,10,58,12,SEDANG
53,102,41,13,72,20,TIDAK SEHAT
51,85,41,11,77,18,SEDANG
36,58,40,13,58,23,SEDANG
58,90,41,16,82,17,SEDANG
53,77,43,18,55,27,SEDANG
68,117,48,13,84,26,TIDAK SEHAT
59,79,46,14,72,32,SEDANG
57,82,46,16,82,29,SEDANG
74,102,45,22,76,33,TIDAK SEHAT
76,148,52,21,93,24,TIDAK SEHAT
63,119,46,16,91,21,TIDAK SEHAT
61,102,41,15,81,28,TIDAK SEHAT
66,104,44,14,111,25,TIDAK SEHAT
78,116,42,21,118,40,TIDAK SEHAT
71,107,52,22,78,43,TIDAK SEHAT
63,98,44,17,95,31,SEDANG
82,164,46,27,80,38,TIDAK SEHAT
50,76,42,21,59,28,SEDANG
52,81,40,17,50,29,SEDANG
58,90,42,22,62,35,SEDANG
54,87,40,20,57,32,SEDANG
73,92,53,19,73,43,SEDANG
49,71,43,23,69,27,SEDANG
51,74,39,14,40,17,SEDANG
61,99,42,18,70,28,SEDANG
66,126,48,24,61,26,TIDAK SEHAT
63,100,44,44,59,44,SEDANG
51,89,45,17,58,31,SEDANG
64,107,43,23,65,40,TIDAK SEHAT
57,105,43,17,82,33,TIDAK SEHAT
79,146,52,25,76,35,TIDAK SEHAT
57,93,45,15,52,26,SEDANG
74,121,48,16,58,27,TIDAK SEHAT
58,98,46,11,54,21,SEDANG
68,123,47,17,53,24,TIDAK SEHAT
58,110,44,17,55,25,TIDAK SEHAT
58,82,44,20,58,32,SEDANG
70,128,43,24,71,43,TIDAK SEHAT
75,136,43,28,64,46,TIDAK SEHAT
62,99,42,15,89,24,SEDANG
68,106,45,22,69,36,TIDAK SEHAT
82,131,46,23,60,31,TIDAK SEHAT
85,123,46,22,77,38,TIDAK SEHAT
82,119,46,19,68,32,TIDAK SEHAT
71,123,47,17,72,27,TIDAK SEHAT
79,114,47,18,70,32,TIDAK SEHAT
78,131,45,17,99,27,TIDAK SEHAT
73,118,47,23,82,37,TIDAK SEHAT
75,117,45,30,58,42,TIDAK SEHAT
85,130,45,25,50,37,TIDAK SEHAT
79,146,46,32,50,45,TIDAK SEHAT
80,141,45,25,44,43,TIDAK SEHAT
75,112,49,27,52,50,TIDAK SEHAT
61,97,46,22,71,38,SEDANG
61,112,45,22,71,33,TIDAK SEHAT
58,92,45,15,67,28,SEDANG
56,82,44,26,49,36,SEDANG
65,97,51,27,34,46,SEDANG
65,110,44,18,54,25,TIDAK SEHAT
61,76,44,18,50,32,SEDANG
64,111,44,21,62,35,TIDAK SEHAT
62,116,45,15,87,27,TIDAK SEHAT
78,136,44,26,92,51,TIDAK SEHAT
51,68,44,20,72,36,SEDANG
56,100,44,15,76,33,SEDANG
73,111,49,15,87,31,TIDAK SEHAT
80,143,49,17,115,27,TIDAK SEHAT
66,118,49,15,95,22,TIDAK SEHAT
74,123,50,12,86,22,TIDAK SEHAT
82,132,50,16,90,30,TIDAK SEHAT
70,116,50,14,118,24,TIDAK SEHAT
67,110,49,16,85,20,TIDAK SEHAT
56,87,46,16,91,24,SEDANG
54,82,47,14,94,21,SEDANG
61,99,50,14,67,19,SEDANG
74,121,50,17,96,25,TIDAK SEHAT
75,110,50,15,114,28,TIDAK SEHAT
76,124,49,18,94,26,TIDAK SEHAT
75,114,50,15,98,25,TIDAK SEHAT
75,143,48,30,84,36,TIDAK SEHAT
59,89,48,28,51,36,SEDANG
36,59,46,15,48,31,SEDANG
58,86,49,12,65,18,SEDANG
85,125,47,25,57,33,TIDAK SEHAT
69,114,48,16,65,29,TIDAK SEHAT
77,123,49,17,84,28,TIDAK SEHAT
66,112,47,15,84,29,TIDAK SEHAT
63,93,47,13,84,19,SEDANG
61,93,48,13,107,25,TIDAK SEHAT
55,80,48,17,95,25,SEDANG
94,135,46,29,74,44,TIDAK SEHAT
